sleeper_player_id,first_name,last_name,full_name,position,nfl_team,number,status,injury_status
3357,Brandon,Allen,Brandon Allen,QB,TEN,10,Active,
12852,Monaray,Baldwin,Monaray Baldwin,WR,,48,Active,
5880,Parris,Campbell,Parris Campbell,WR,DAL,11,Active,
12760,Rashod,Owens,Rashod Owens,WR,,12,Active,
9490,Tyler,Scott,Tyler Scott,WR,LAR,86,Active,
6453,D.J.,Montgomery,D.J. Montgomery,WR,IND,2,Inactive,IR
7597,Kenny,Yeboah,Kenny Yeboah,TE,DET,88,Inactive,IR
13166,Kisean,Johnson,Kisean Johnson,WR,,83,Active,
11292,Tommy,DeVito,Tommy DeVito,QB,NE,16,Active,Out
8908,Brandon,Lewis,Brandon Lewis,WR,,0,Active,
12776,Connor,Bazelak,Connor Bazelak,QB,TB,16,Active,
902,Dwayne,Harris,Dwayne Harris,WR,,82,Inactive,Questionable
11633,Jamari,Thrash,Jamari Thrash,WR,CLE,80,Active,
4531,Ricky,Seals-Jones,Ricky Seals-Jones,TE,,48,Inactive,Questionable
2399,Ty,Montgomery,Ty Montgomery,RB,,14,Active,
11410,Braxton,Burmeister,Braxton Burmeister,WR,,4,Active,
13011,Brennan,Presley,Brennan Presley,WR,LAR,81,Active,
11942,Colson,Yankoff,Colson Yankoff,TE,WAS,80,Active,Out
3868,Jalen,Richard,Jalen Richard,RB,LV,30,Active,
6927,Quez,Watkins,Quez Watkins,WR,PHI,86,Active,Questionable
13080,Deion,Hankins,Deion Hankins,RB,CHI,35,Inactive,IR
8194,Jashaun,Corbin,Jashaun Corbin,RB,NE,30,Active,Out
7610,Trey,Lance,Trey Lance,QB,LAC,5,Active,
5092,Troy,Fumagalli,Troy Fumagalli,TE,,82,Active,
11186,Carlos,Washington,Carlos Washington,RB,ATL,26,Active,
11653,Charlie,Smyth,Charlie Smyth,K,NO,39,Active,
1329,Chris,Hogan,Chris Hogan,WR,,0,Injured Reserve,
12210,Cole,Burgess,Cole Burgess,WR,,17,Active,
11964,Dayton,Wade,Dayton Wade,WR,BAL,82,Inactive,IR
5965,Miles,Boykin,Miles Boykin,WR,CHI,80,Active,
868,Virgil,Green,Virgil Green,TE,,88,Inactive,Questionable
12080,Aidan,Robbins,Aidan Robbins,RB,,49,Active,
8241,Anthony,Brown,Anthony Brown,QB,,15,Active,
