id,source_website,week,player_first_name,player_last_name,position,projected_points,created_at,updated_at,team
6848,sleeper.com,Week 9,Alvin,Kamara,RB,19.6,2025-10-29 00:23:43,2025-10-29 00:23:43,NO
7235,espn.com,Week 9,Caleb,Williams,QB,19.6,2025-10-29 00:31:33,2025-10-29 00:31:33,CHI
7236,espn.com,Week 9,Jayden,Daniels,QB,19.6,2025-10-29 00:31:33,2025-10-29 00:31:33,WSH
7517,fantasypros.com,Week 8,Jonathan,Taylor,RB,19.6,2025-10-29 00:39:00,2025-10-29 00:39:00,IND
8118,fanduel.com,Week 9,Bijan,Robinson,RB,19.52,2025-10-29 00:52:31,2025-10-29 00:52:31,ATL
7470,fantasypros.com,Week 8,Joe,Flacco,QB,19.5,2025-10-29 00:39:00,2025-10-29 00:39:00,CIN
6849,sleeper.com,Week 9,Geno,Smith,QB,19.4,2025-10-29 00:23:43,2025-10-29 00:23:43,LV
8119,fanduel.com,Week 9,Jordan,Love,QB,19.32,2025-10-29 00:52:31,2025-10-29 00:52:31,GB
7306,espn.com,Week 9,Amon-Ra,St. Brown,WR,19.3,2025-10-29 00:31:33,2025-10-29 00:31:33,DET
8120,fanduel.com,Week 9,Caleb,Williams,QB,19.25,2025-10-29 00:52:31,2025-10-29 00:52:31,CHI
7258,espn.com,Week 9,Jahmyr,Gibbs,RB,19.2,2025-10-29 00:31:33,2025-10-29 00:31:33,DET
7307,espn.com,Week 9,CeeDee,Lamb,WR,19.2,2025-10-29 00:31:33,2025-10-29 00:31:33,DAL
7518,fantasypros.com,Week 8,Bijan,Robinson,RB,19.2,2025-10-29 00:39:00,2025-10-29 00:39:00,ATL
8121,fanduel.com,Week 9,De'Von,Achane,RB,19.12,2025-10-29 00:52:31,2025-10-29 00:52:31,MIA
6850,sleeper.com,Week 9,Baker,Mayfield,QB,19.0,2025-10-29 00:23:43,2025-10-29 00:23:43,TB
7471,fantasypros.com,Week 8,Jordan,Love,QB,19.0,2025-10-29 00:39:00,2025-10-29 00:39:00,GB
6851,sleeper.com,Week 9,Ja'Marr,Chase,WR,18.9,2025-10-29 00:23:43,2025-10-29 00:23:43,CIN
7237,espn.com,Week 9,Dak,Prescott,QB,18.9,2025-10-29 00:31:33,2025-10-29 00:31:33,DAL
6852,sleeper.com,Week 9,CeeDee,Lamb,WR,18.8,2025-10-29 00:23:43,2025-10-29 00:23:43,DAL
6853,sleeper.com,Week 9,Justin,Jefferson,WR,18.8,2025-10-29 00:23:43,2025-10-29 00:23:43,MIN
6854,sleeper.com,Week 9,Caleb,Williams,QB,18.8,2025-10-29 00:23:43,2025-10-29 00:23:43,CHI
7519,fantasypros.com,Week 8,De'Von,Achane,RB,18.8,2025-10-29 00:39:00,2025-10-29 00:39:00,MIA
6855,sleeper.com,Week 9,Kirk,Cousins,QB,18.7,2025-10-29 00:23:43,2025-10-29 00:23:43,ATL
7259,espn.com,Week 9,Josh,Jacobs,RB,18.7,2025-10-29 00:31:33,2025-10-29 00:31:33,GB
7353,espn.com,Week 9,Trey,McBride,TE,18.7,2025-10-29 00:31:33,2025-10-29 00:31:33,ARI
7472,fantasypros.com,Week 8,Jared,Goff,QB,18.5,2025-10-29 00:39:00,2025-10-29 00:39:00,DET
