team_id,team_name,owner,line,over_prob,over_odds,under_prob,under_odds,push_count
3,Team 3,amir812,134.74,0.50004,-100,0.49996,+100,0
5,Team 5,TBK41,132.91,0.5001,-100,0.4999,+100,0
6,Team 6,Jibraan,123.65,0.50006,-100,0.49994,+100,0
8,Team 8,sahirsyed30,117.6,0.49994,+100,0.50006,-100,0
1,Team 1,xavierking4,117.19,0.50006,-100,0.49994,+100,0
10,Team 10,monkeyman966699696,114.78,0.4999,+100,0.5001,-100,0
11,Team 11,Ammady,113.12,0.50002,-100,0.49998,+100,0
12,Team 12,sfaizi24,111.32,0.50008,-100,0.49992,+100,0
2,Team 2,asadrafique,109.53,0.49992,+100,0.50008,-100,0
9,Team 9,Bilal879,108.1,0.50004,-100,0.49996,+100,0
4,Team 4,umarrahman30,107.84,0.49998,+100,0.50002,-100,0
7,Team 7,mehdidrissi,100.68,0.4999,+100,0.5001,-100,0
