week,sim_id,team_id,team_name,owner,total_points
16,0,1,Team 1,xavierking4,144.21000169876856
16,1,1,Team 1,xavierking4,94.99700015013882
16,2,1,Team 1,xavierking4,114.43411943525874
16,3,1,Team 1,xavierking4,91.09686857937913
16,4,1,Team 1,xavierking4,136.55550148139508
16,5,1,Team 1,xavierking4,106.06564991999286
16,6,1,Team 1,xavierking4,112.72144898922645
16,7,1,Team 1,xavierking4,74.38412981494989
16,8,1,Team 1,xavierking4,77.42039714981829
16,9,1,Team 1,xavierking4,113.93159227525165
16,10,1,Team 1,xavierking4,130.62157424204412
16,11,1,Team 1,xavierking4,151.61548188602757
16,12,1,Team 1,xavierking4,119.9550466117441
16,13,1,Team 1,xavierking4,73.460640470823
16,14,1,Team 1,xavierking4,99.34427567938789
16,15,1,Team 1,xavierking4,116.84743050573577
16,16,1,Team 1,xavierking4,142.01592938573285
16,17,1,Team 1,xavierking4,81.87252849543154
16,18,1,Team 1,xavierking4,144.0935377384113
16,19,1,Team 1,xavierking4,108.22746527661951
16,20,1,Team 1,xavierking4,130.81009390166895
16,21,1,Team 1,xavierking4,120.1633062092192
16,22,1,Team 1,xavierking4,95.45594058111045
16,23,1,Team 1,xavierking4,103.80588906601739
16,24,1,Team 1,xavierking4,121.74017380792051
16,25,1,Team 1,xavierking4,101.09554262187096
16,26,1,Team 1,xavierking4,125.01130185292169
16,27,1,Team 1,xavierking4,126.24162882183691
16,28,1,Team 1,xavierking4,66.81692590394087
16,29,1,Team 1,xavierking4,95.643289834794
16,30,1,Team 1,xavierking4,122.59833371713557
16,31,1,Team 1,xavierking4,91.62474124650932
16,32,1,Team 1,xavierking4,116.98105493161374
16,33,1,Team 1,xavierking4,91.29784068710651
16,34,1,Team 1,xavierking4,106.78852093053916
16,35,1,Team 1,xavierking4,76.27448812710408
16,36,1,Team 1,xavierking4,200.11897812002252
16,37,1,Team 1,xavierking4,98.20425803913135
16,38,1,Team 1,xavierking4,88.73722121765091
16,39,1,Team 1,xavierking4,88.77402488570168
16,40,1,Team 1,xavierking4,134.51756970003254
16,41,1,Team 1,xavierking4,132.6604118198179
16,42,1,Team 1,xavierking4,120.66170307257251
16,43,1,Team 1,xavierking4,74.60386224773323
16,44,1,Team 1,xavierking4,155.6052200085945
16,45,1,Team 1,xavierking4,161.4998773895755
16,46,1,Team 1,xavierking4,143.65279634299793
16,47,1,Team 1,xavierking4,102.12095007124594
16,48,1,Team 1,xavierking4,139.04113374505496
16,49,1,Team 1,xavierking4,93.50141149666179
16,50,1,Team 1,xavierking4,107.77407723379733
16,51,1,Team 1,xavierking4,93.01502578536031
16,52,1,Team 1,xavierking4,86.16435421884238
16,53,1,Team 1,xavierking4,114.1149404776668
16,54,1,Team 1,xavierking4,109.81804362655089
16,55,1,Team 1,xavierking4,115.2982970485788
16,56,1,Team 1,xavierking4,80.98141545249081
16,57,1,Team 1,xavierking4,98.72264588812078
16,58,1,Team 1,xavierking4,79.1241476157825
16,59,1,Team 1,xavierking4,105.27861825643629
16,60,1,Team 1,xavierking4,144.77801172415892
16,61,1,Team 1,xavierking4,66.34584793194455
16,62,1,Team 1,xavierking4,101.42454743704126
16,63,1,Team 1,xavierking4,96.55904423793922
16,64,1,Team 1,xavierking4,175.74858155506772
16,65,1,Team 1,xavierking4,129.03335102561167
16,66,1,Team 1,xavierking4,114.23175725563281
16,67,1,Team 1,xavierking4,98.17851582989421
16,68,1,Team 1,xavierking4,164.88452514487517
16,69,1,Team 1,xavierking4,92.86626401149503
16,70,1,Team 1,xavierking4,121.0617686411996
16,71,1,Team 1,xavierking4,152.437788582596
16,72,1,Team 1,xavierking4,118.25971342934336
16,73,1,Team 1,xavierking4,133.29433233396992
16,74,1,Team 1,xavierking4,108.33279498245983
16,75,1,Team 1,xavierking4,116.26546266528204
16,76,1,Team 1,xavierking4,138.55360482708753
16,77,1,Team 1,xavierking4,97.64877303670497
16,78,1,Team 1,xavierking4,93.87122851123527
16,79,1,Team 1,xavierking4,100.18971643857249
16,80,1,Team 1,xavierking4,92.32118583075395
16,81,1,Team 1,xavierking4,153.06274319494221
16,82,1,Team 1,xavierking4,114.64319510517339
16,83,1,Team 1,xavierking4,110.01558690705195
16,84,1,Team 1,xavierking4,115.13380953503147
16,85,1,Team 1,xavierking4,111.81495297014699
16,86,1,Team 1,xavierking4,119.24896325452517
16,87,1,Team 1,xavierking4,121.66496475538601
16,88,1,Team 1,xavierking4,90.88423767348985
16,89,1,Team 1,xavierking4,96.86227485777644
16,90,1,Team 1,xavierking4,101.89594424328406
16,91,1,Team 1,xavierking4,75.47906962054516
16,92,1,Team 1,xavierking4,111.2356408720311
16,93,1,Team 1,xavierking4,72.0678862733621
16,94,1,Team 1,xavierking4,146.83105884372003
16,95,1,Team 1,xavierking4,166.14156626110457
16,96,1,Team 1,xavierking4,166.29485172648563
16,97,1,Team 1,xavierking4,173.58293673610814
16,98,1,Team 1,xavierking4,141.59311570343957
16,99,1,Team 1,xavierking4,75.6806811836063
16,100,1,Team 1,xavierking4,105.24524105845352
16,101,1,Team 1,xavierking4,137.32116459809393
16,102,1,Team 1,xavierking4,74.04164280463469
16,103,1,Team 1,xavierking4,174.0563035887698
16,104,1,Team 1,xavierking4,112.5418705033562
16,105,1,Team 1,xavierking4,120.28609270833893
16,106,1,Team 1,xavierking4,119.51446923210864
16,107,1,Team 1,xavierking4,103.90297587097729
16,108,1,Team 1,xavierking4,75.3944648346298
16,109,1,Team 1,xavierking4,87.27809018356719
16,110,1,Team 1,xavierking4,126.75679959678436
16,111,1,Team 1,xavierking4,118.98683252136416
16,112,1,Team 1,xavierking4,124.52559791170279
16,113,1,Team 1,xavierking4,108.8707660635032
16,114,1,Team 1,xavierking4,118.66239320343345
16,115,1,Team 1,xavierking4,161.26230855404685
16,116,1,Team 1,xavierking4,131.99616072555742
16,117,1,Team 1,xavierking4,89.98984118523579
16,118,1,Team 1,xavierking4,145.55398967438958
16,119,1,Team 1,xavierking4,143.8738496390666
16,120,1,Team 1,xavierking4,94.16395705190409
16,121,1,Team 1,xavierking4,114.2896781045013
16,122,1,Team 1,xavierking4,122.15353168602357
16,123,1,Team 1,xavierking4,79.79890720064287
16,124,1,Team 1,xavierking4,143.37061561738327
16,125,1,Team 1,xavierking4,77.78400717509503
16,126,1,Team 1,xavierking4,87.04159618300001
16,127,1,Team 1,xavierking4,88.32364481345692
16,128,1,Team 1,xavierking4,143.91824797321092
16,129,1,Team 1,xavierking4,126.25433027093406
16,130,1,Team 1,xavierking4,91.57456841734205
16,131,1,Team 1,xavierking4,84.35850865417616
16,132,1,Team 1,xavierking4,155.3333311004117
16,133,1,Team 1,xavierking4,102.62719619255371
16,134,1,Team 1,xavierking4,134.85651314904058
16,135,1,Team 1,xavierking4,81.18208877888559
16,136,1,Team 1,xavierking4,88.95698200880459
16,137,1,Team 1,xavierking4,121.73848898947602
16,138,1,Team 1,xavierking4,67.78783546304528
16,139,1,Team 1,xavierking4,156.5859333373945
