id,source_website,week,player_first_name,player_last_name,position,projected_points,created_at,updated_at,team
25435,fanduel.com,Week 13,Chris,Brooks,RB,1.06,2025-11-26 18:38:36,2025-11-26 18:38:36,GB
17882,fanduel.com,Week 11,Justin,Shorter,TE,1.05,2025-11-13 05:21:22,2025-11-13 05:21:22,LV
25436,fanduel.com,Week 13,Tanner,Conner,TE,1.05,2025-11-26 18:38:36,2025-11-26 18:38:36,MIA
25437,fanduel.com,Week 13,Anthony,Gould,WR,1.05,2025-11-26 18:38:36,2025-11-26 18:38:36,IND
25438,fanduel.com,Week 13,Kameron,Johnson,WR,1.05,2025-11-26 18:38:36,2025-11-26 18:38:36,TB
26535,fanduel.com,Week 14,Cedrick,Wilson,WR,1.05,2025-12-03 01:55:37,2025-12-03 03:57:34,MIA
17883,fanduel.com,Week 11,Trayveon,Williams,RB,1.04,2025-11-13 05:21:22,2025-11-13 05:21:22,LAC
14993,fanduel.com,Week 10,Tyler,Badie,RB,1.03,2025-11-07 00:48:09,2025-11-07 00:48:09,DEN
14994,fanduel.com,Week 10,Skyy,Moore,WR,1.03,2025-11-07 00:48:09,2025-11-07 00:48:09,SF
25439,fanduel.com,Week 13,James,Mitchell,TE,1.03,2025-11-26 18:38:36,2025-11-26 18:38:36,CAR
25440,fanduel.com,Week 13,Andre,Baccellia,WR,1.03,2025-11-26 18:38:36,2025-11-26 18:38:36,ARI
25441,fanduel.com,Week 13,Adam,Thielen,WR,1.03,2025-11-26 18:38:36,2025-11-26 18:38:36,MIN
14995,fanduel.com,Week 10,Tyrell,Shavers,WR,1.02,2025-11-07 00:48:09,2025-11-07 00:48:09,BUF
14996,fanduel.com,Week 10,Jaylin,Noel,WR,1.02,2025-11-07 00:48:09,2025-11-07 00:48:09,HOU
19044,fanduel.com,Week 12,Ben,Skowronek,WR,1.02,2025-11-20 17:52:44,2025-11-20 18:02:18,PIT
26536,fanduel.com,Week 14,Anthony,Gould,WR,1.02,2025-12-03 01:55:37,2025-12-03 03:57:34,IND
26537,fanduel.com,Week 14,Tanner,Conner,TE,1.02,2025-12-03 01:55:37,2025-12-03 03:57:34,MIA
14997,fanduel.com,Week 10,Trevor,Etienne,RB,1.01,2025-11-07 00:48:09,2025-11-07 00:48:09,CAR
25442,fanduel.com,Week 13,Jonathan,Mingo,WR,1.01,2025-11-26 18:38:36,2025-11-26 18:38:36,DAL
25443,fanduel.com,Week 13,Mitchell,Evans,TE,1.01,2025-11-26 18:38:36,2025-11-26 18:38:36,CAR
25444,fanduel.com,Week 13,Blake,Whiteheart,TE,1.01,2025-11-26 18:38:36,2025-11-26 18:38:36,CLE
25445,fanduel.com,Week 13,DJ,Giddens,RB,1.01,2025-11-26 18:38:36,2025-11-26 18:38:36,IND
25446,fanduel.com,Week 13,Casey,Washington,WR,1.01,2025-11-26 18:38:36,2025-11-26 18:38:36,ATL
26538,fanduel.com,Week 14,Sean,Tucker,RB,1.01,2025-12-03 01:55:37,2025-12-03 03:57:34,TB
14998,fanduel.com,Week 10,Xavier,Smith,WR,1.0,2025-11-07 00:48:09,2025-11-07 00:51:07,LAR
15500,sleeper.com,Week 10,Casey,Washington,WR,1.0,2025-11-07 00:48:26,2025-11-07 00:48:26,ATL
15501,sleeper.com,Week 10,John,Metchie,WR,1.0,2025-11-07 00:48:26,2025-11-07 00:48:26,NYJ
15502,sleeper.com,Week 10,Arian,Smith,WR,1.0,2025-11-07 00:48:26,2025-11-07 00:48:26,NYJ
15503,sleeper.com,Week 10,Brock,Wright,TE,1.0,2025-11-07 00:48:26,2025-11-07 00:48:26,DET
15971,fantasypros.com,Week 10,Alec,Ingold,RB,1.0,2025-11-07 00:50:27,2025-11-07 00:50:27,MIA
16125,fantasypros.com,Week 10,Dee,Eskridge,WR,1.0,2025-11-07 00:50:27,2025-11-07 00:50:27,MIA
16734,sleeper.com,Week 11,Casey,Washington,WR,1.0,2025-11-13 05:18:19,2025-11-13 05:18:19,ATL
16735,sleeper.com,Week 11,Quintin,Morris,TE,1.0,2025-11-13 05:18:19,2025-11-13 05:18:19,JAX
16737,sleeper.com,Week 11,Johnny,Mundt,TE,1.0,2025-11-13 05:18:19,2025-11-13 05:18:19,JAX
17146,fantasypros.com,Week 11,Tanner,McKee,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PHI
17147,fantasypros.com,Week 11,Jake,Browning,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CIN
17148,fantasypros.com,Week 11,Trey,Lance,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,LAC
17149,fantasypros.com,Week 11,Mason,Rudolph,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PIT
17150,fantasypros.com,Week 11,Jarrett,Stidham,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,DEN
17151,fantasypros.com,Week 11,Shedeur,Sanders,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CLE
17152,fantasypros.com,Week 11,Nick,Mullens,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:26:13,JAX
17153,fantasypros.com,Week 11,Brandon,Allen,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,TEN
17154,fantasypros.com,Week 11,Quinn,Ewers,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,MIA
17155,fantasypros.com,Week 11,Jayden,Daniels,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,WAS
17156,fantasypros.com,Week 11,Cooper,Rush,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BAL
17157,fantasypros.com,Week 11,Joe,Burrow,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,CIN
17158,fantasypros.com,Week 11,Will,Howard,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PIT
17159,fantasypros.com,Week 11,Sam,Howell,QB,1.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PHI
