matchup,team1_id,team1_name,team2_id,team2_name,line,over_prob,over_odds,under_prob,under_odds
Team 5 vs Team 8,5,Team 5,8,Team 8,248.72319816333064,0.5,-100,0.5,-100
Team 1 vs Team 4,1,Team 1,4,Team 4,219.52269681430292,0.5,-100,0.5,-100
Team 6 vs Team 11,6,Team 6,11,Team 11,233.1021239048851,0.5,-100,0.5,-100
Team 10 vs Team 12,10,Team 10,12,Team 12,238.04045870991266,0.5,-100,0.5,-100
Team 2 vs Team 9,2,Team 2,9,Team 9,223.21971080175814,0.5,-100,0.5,-100
Team 3 vs Team 7,3,Team 3,7,Team 7,253.62559652251102,0.5,-100,0.5,-100
