team_id,team_name,owner,line,over_prob,over_odds,under_prob,under_odds,push_count
3,Team 3,amir812,136.73,0.49992,+100,0.50008,-100,0
8,Team 8,sahirsyed30,127.23,0.50002,-100,0.49998,+100,0
10,Team 10,monkeyman966699696,124.45,0.5,-100,0.5,-100,0
5,Team 5,TBK41,118.63,0.5,-100,0.5,-100,0
6,Team 6,Jibraan,116.94,0.50004,-100,0.49996,+100,0
9,Team 9,Bilal879,114.52,0.50004,-100,0.49996,+100,0
7,Team 7,mehdidrissi,114.0,0.5,-100,0.5,-100,0
11,Team 11,Ammady,112.97,0.50004,-100,0.49996,+100,0
12,Team 12,sfaizi24,110.57,0.49992,+100,0.50008,-100,0
1,Team 1,xavierking4,110.55,0.5,-100,0.5,-100,0
4,Team 4,umarrahman30,105.49,0.50006,-100,0.49994,+100,0
2,Team 2,asadrafique,105.35,0.49998,+100,0.50002,-100,0
