matchup,team1_id,team1_name,team1_win_prob,team1_ml,team2_id,team2_name,team2_win_prob,team2_ml,ties
Team 2 vs Team 5,2,Team 2,0.44796,+123,5,Team 5,0.55204,-123,0
Team 3 vs Team 4,3,Team 3,0.65402,-189,4,Team 4,0.34598,+189,0
Team 6 vs Team 8,6,Team 6,0.69936,-233,8,Team 8,0.30064,+233,0
Team 1 vs Team 12,1,Team 1,0.52906,-112,12,Team 12,0.47094,+112,0
Team 9 vs Team 11,9,Team 9,0.42438,+136,11,Team 11,0.57562,-136,0
Team 7 vs Team 10,7,Team 7,0.51052,-104,10,Team 10,0.48948,+104,0
