matchup,team1_id,team1_name,team2_id,team2_name,line,over_prob,over_odds,under_prob,under_odds
Team 3 vs Team 5,3,Team 3,5,Team 5,270.30330617678317,0.5,-100,0.5,-100
Team 2 vs Team 4,2,Team 2,4,Team 4,220.60349070049432,0.5,-100,0.5,-100
Team 8 vs Team 12,8,Team 8,12,Team 12,231.9951728691272,0.5,-100,0.5,-100
Team 1 vs Team 6,1,Team 1,6,Team 6,243.50247178834167,0.5,-100,0.5,-100
Team 7 vs Team 11,7,Team 7,11,Team 11,217.29170677790358,0.5,-100,0.5,-100
Team 9 vs Team 10,9,Team 9,10,Team 10,226.1325471672819,0.5,-100,0.5,-100
