matchup,team1_id,team1_name,team2_id,team2_name,line,over_prob,over_odds,under_prob,under_odds
Team 4 vs Team 5,4,Team 4,5,Team 5,230.04406732322897,0.5,-100,0.5,-100
Team 1 vs Team 8,1,Team 1,8,Team 8,238.53067406526213,0.5,-100,0.5,-100
Team 6 vs Team 12,6,Team 6,12,Team 12,232.51744771379958,0.5,-100,0.5,-100
Team 10 vs Team 11,10,Team 10,11,Team 11,241.87138923850284,0.5,-100,0.5,-100
Team 7 vs Team 9,7,Team 7,9,Team 9,225.42982448093005,0.5,-100,0.5,-100
Team 2 vs Team 3,2,Team 2,3,Team 3,230.48918391734253,0.5,-100,0.5,-100
