matchup,team1_id,team1_name,team2_id,team2_name,line,over_prob,over_odds,under_prob,under_odds
Team 1 vs Team 12,1,Team 1,12,Team 12,211.91286075278902,0.5,-100,0.5,-100
Team 5 vs Team 6,5,Team 5,6,Team 6,224.76656413254324,0.5,-100,0.5,-100
Team 8 vs Team 2,8,Team 8,2,Team 2,223.82548947648962,0.5,-100,0.5,-100
Team 3 vs Team 10,3,Team 3,10,Team 10,249.85639408485505,0.5,-100,0.5,-100
