sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
7537,automatic,espn.com,Week 10,Jaret,Patterson,RB,LAC,4.6,2025-11-20 18:03:39
NE,dst_team_match,espn.com,Week 10,Patriots D/ST,Defense,DST,NE,4.6,2025-11-20 18:03:39
IND,dst_team_match,espn.com,Week 10,Colts D/ST,Defense,DST,IND,4.6,2025-11-20 18:03:39
3423,automatic,sleeper.com,Week 11,Robbie,Chosen,WR,WAS,4.6,2025-11-20 18:03:39
11608,automatic,sleeper.com,Week 11,Isaiah,Williams,WR,NYJ,4.6,2025-11-20 18:03:39
12519,automatic,sleeper.com,Week 11,Luther,Burden,WR,CHI,4.6,2025-11-20 18:03:39
9479,automatic,sleeper.com,Week 11,Darnell,Washington,TE,PIT,4.6,2025-11-20 18:03:39
12521,automatic,sleeper.com,Week 11,Elijah,Arroyo,TE,SEA,4.6,2025-11-20 18:03:39
9479,automatic,espn.com,Week 11,Darnell,Washington,TE,PIT,4.6,2025-11-20 18:03:39
CLE,dst_team_match,espn.com,Week 11,Browns D/ST,Defense,DST,CLE,4.6,2025-11-20 18:03:39
8143,automatic,sleeper.com,Week 12,Jerome,Ford,RB,CLE,4.6,2025-11-20 18:03:39
5985,automatic,fanduel.com,Week 12,Foster,Moreau,TE,NO,4.6,2025-11-20 18:03:39
8188,automatic,fantasypros.com,Week 12,Tyquan,Thornton,WR,KC,4.6,2025-11-20 18:03:39
5773,automatic,fantasypros.com,Week 12,KhaDarel,Hodge,WR,ATL,4.6,2025-11-20 18:03:39
8119,automatic,fantasypros.com,Week 12,Jahan,Dotson,WR,PHI,4.6,2025-11-20 18:03:39
12483,automatic,fantasypros.com,Week 12,Jack,Bech,WR,LV,4.6,2025-11-20 18:03:39
,,fantasypros.com,Week 12,Matt,Gay,K,SF,4.6,2025-11-20 18:03:39
5906,automatic,fanduel.com,Week 10,Dawson,Knox,TE,BUF,4.58,2025-11-20 18:03:39
11603,automatic,fanduel.com,Week 12,AJ,Barner,TE,SEA,4.53,2025-11-20 18:03:39
8117,automatic,fanduel.com,Week 11,Jalen,Tolbert,WR,DAL,4.52,2025-11-20 18:03:39
