matchup,team1_id,team1_name,team2_id,team2_name,line,over_prob,over_odds,under_prob,under_odds
Team 1 vs Team 5,1,Team 1,5,Team 5,232.04516585563277,0.5,-100,0.5,-100
Team 4 vs Team 8,4,Team 4,8,Team 8,221.95828655595773,0.5,-100,0.5,-100
Team 6 vs Team 10,6,Team 6,10,Team 10,233.54606551003212,0.5,-100,0.5,-100
Team 11 vs Team 12,11,Team 11,12,Team 12,210.62261807540074,0.5,-100,0.5,-100
Team 3 vs Team 9,3,Team 3,9,Team 9,217.29914100179187,0.5,-100,0.5,-100
Team 2 vs Team 7,2,Team 2,7,Team 7,213.4395213902909,0.5,-100,0.5,-100
