matchup,team1_id,team1_name,team1_win_prob,team1_ml,team2_id,team2_name,team2_win_prob,team2_ml,ties
Team 1 vs Team 3,1,Team 1,0.38494,+160,3,Team 3,0.61506,-160,0
Team 8 vs Team 6,8,Team 8,0.58764,-143,6,Team 6,0.41236,+143,0
