matchup,team1_id,team1_name,team1_win_prob,team1_ml,team2_id,team2_name,team2_win_prob,team2_ml,ties
Team 1 vs Team 5,1,Team 1,0.393,+154,5,Team 5,0.607,-154,0
Team 4 vs Team 8,4,Team 4,0.25548,+291,8,Team 8,0.74452,-291,0
Team 6 vs Team 10,6,Team 6,0.41088,+143,10,Team 10,0.58912,-143,0
Team 11 vs Team 12,11,Team 11,0.49524,+102,12,Team 12,0.50476,-102,0
Team 3 vs Team 9,3,Team 3,0.51874,-108,9,Team 9,0.48126,+108,0
Team 2 vs Team 7,2,Team 2,0.56574,-130,7,Team 7,0.43426,+130,0
