team_id,team_name,owner,line,over_prob,over_odds,under_prob,under_odds,push_count
10,Team 10,monkeyman966699696,123.98,0.49996,+100,0.50004,-100,0
3,Team 3,amir812,123.58,0.50004,-100,0.49996,+100,0
8,Team 8,sahirsyed30,118.93,0.5,-100,0.5,-100,0
5,Team 5,TBK41,117.37,0.50004,-100,0.49996,+100,0
1,Team 1,xavierking4,116.54,0.49992,+100,0.50008,-100,0
11,Team 11,Ammady,114.95,0.50002,-100,0.49998,+100,0
12,Team 12,sfaizi24,115.41,0.49996,+100,0.50004,-100,0
7,Team 7,mehdidrissi,114.81,0.49998,+100,0.50002,-100,0
6,Team 6,Jibraan,114.25,0.5,-100,0.5,-100,0
4,Team 4,umarrahman30,109.57,0.50006,-100,0.49994,+100,0
9,Team 9,Bilal879,107.39,0.49998,+100,0.50002,-100,0
2,Team 2,asadrafique,104.0,0.49996,+100,0.50004,-100,0
