team_id,team_name,owner,line,over_prob,over_odds,under_prob,under_odds,push_count
8,Team 8,sahirsyed30,120.91,0.49998,+100,0.50002,-100,0
10,Team 10,monkeyman966699696,119.22,0.5,-100,0.5,-100,0
5,Team 5,TBK41,119.24,0.49996,+100,0.50004,-100,0
6,Team 6,Jibraan,111.33,0.50004,-100,0.49996,+100,0
1,Team 1,xavierking4,109.78,0.49996,+100,0.50004,-100,0
2,Team 2,asadrafique,107.97,0.50008,-100,0.49992,+100,0
3,Team 3,amir812,107.76,0.50006,-100,0.49994,+100,0
9,Team 9,Bilal879,106.22,0.50004,-100,0.49996,+100,0
12,Team 12,sfaizi24,103.71,0.50008,-100,0.49992,+100,0
11,Team 11,Ammady,103.42,0.49988,+100,0.50012,-100,0
7,Team 7,mehdidrissi,102.03,0.5,-100,0.5,-100,0
4,Team 4,umarrahman30,98.05,0.49996,+100,0.50004,-100,0
