matchup,team1_id,team1_name,team2_id,team2_name,line,over_prob,over_odds,under_prob,under_odds
Team 1 vs Team 3,1,Team 1,3,Team 3,234.8043573138878,0.5,-100,0.5,-100
Team 8 vs Team 6,8,Team 8,6,Team 6,239.11286786691622,0.5,-100,0.5,-100
